[01Mar2026 13:39:58.532] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: ModLauncher running: args [--username, j_shelfwood, --version, 1.21.1, --gameDir, C:/Users/Shelfwood/AppData/Roaming/PrismLauncher/instances/Craftoria/minecraft, --assetsDir, C:/Users/Shelfwood/AppData/Roaming/PrismLauncher/assets, --assetIndex, 17, --uuid, fc61f12b3c274924b58c1d78f62e51f5, --accessToken, ❄❄❄❄❄❄❄❄, --userType, msa, --versionType, release, --fml.neoForgeVersion, 21.1.215, --fml.fmlVersion, 4.0.42, --fml.mcVersion, 1.21.1, --fml.neoFormVersion, 20240808.144430, --launchTarget, forgeclient, --width, 854, --height, 480]
[01Mar2026 13:39:58.535] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: JVM identified as Oracle Corporation Java HotSpot(TM) 64-Bit Server VM 21.0.10+8-LTS-jvmci-23.1-b84
[01Mar2026 13:39:58.538] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: ModLauncher 11.0.5+main.901c6ea8 starting: java version 21.0.10 by Oracle Corporation; OS Windows 11 arch amd64 version 10.0
[01Mar2026 13:39:58.624] [main/WARN] [net.neoforged.fml.loading.FMLConfig/]: ****************************** Found dependency overrides ******************************
[01Mar2026 13:39:58.625] [main/WARN] [net.neoforged.fml.loading.FMLConfig/]: Dependency overrides for mod 'ars_unification': softening dependency constraints against 'jei'
[01Mar2026 13:39:58.626] [main/WARN] [net.neoforged.fml.loading.FMLConfig/]: ****************************************************************************************
[01Mar2026 13:39:59.510] [main/INFO] [net.neoforged.fml.loading.ImmediateWindowHandler/]: Loading ImmediateWindowProvider fmlearlywindow
[01Mar2026 13:39:59.583] [main/INFO] [EARLYDISPLAY/]: Trying GL version 4.6
[01Mar2026 13:39:59.725] [main/INFO] [EARLYDISPLAY/]: Requested GL version 4.6 got version 4.6
[01Mar2026 13:39:59.816] [main/INFO] [CrashAssistantJarInJarHelper/]: Launching CrashAssistantApp (CrashAssistant-neoforge-1.20.6-1.21.4-1.10.26.jar)
[01Mar2026 13:39:59.831] [main/WARN] [CrashAssistantJarInJarHelper/]: Closed old CrashAssistantApp process to prevent confusing the player with window containing information from old crash.
[01Mar2026 13:40:00.028] [pool-2-thread-1/INFO] [EARLYDISPLAY/]: GL info: NVIDIA GeForce RTX 3080 Laptop GPU/PCIe/SSE2 GL version 4.6.0 NVIDIA 591.86, NVIDIA Corporation
	at TRANSFORMER/toomanyrecipeviewers@0.7.0+mc.21.1/dev.nolij.toomanyrecipeviewers.JEIPlugins.dispatchInternal(JEIPlugins.java:150) ~[toomanyrecipeviewers-0.7.0+mc.21.1.jar%231144!/:?]
	at TRANSFORMER/toomanyrecipeviewers@0.7.0+mc.21.1/dev.nolij.toomanyrecipeviewers.JEIPlugins.lambda$dispatch$1(JEIPlugins.java:160) ~[toomanyrecipeviewers-0.7.0+mc.21.1.jar%231144!/:?]
	at TRANSFORMER/minecraft@1.21.1/net.minecraft.util.thread.BlockableEventLoop.lambda$submitAsync$0(BlockableEventLoop.java:60) ~[client-1.21.1-20240808.144430-srg.jar%23690!/:?]
	at java.base/java.util.concurrent.CompletableFuture$AsyncSupply.run(CompletableFuture.java:1768) ~[?:?]
	at TRANSFORMER/minecraft@1.21.1/net.minecraft.util.thread.BlockableEventLoop.doRunTask(BlockableEventLoop.java:148) ~[client-1.21.1-20240808.144430-srg.jar%23690!/:?]
	at TRANSFORMER/minecraft@1.21.1/net.minecraft.util.thread.ReentrantBlockableEventLoop.doRunTask(ReentrantBlockableEventLoop.java:23) ~[client-1.21.1-20240808.144430-srg.jar%23690!/:?]
	at TRANSFORMER/minecraft@1.21.1/net.minecraft.util.thread.BlockableEventLoop.pollTask(BlockableEventLoop.java:122) ~[client-1.21.1-20240808.144430-srg.jar%23690!/:?]
	at TRANSFORMER/minecraft@1.21.1/net.minecraft.util.thread.BlockableEventLoop.runAllTasks(BlockableEventLoop.java:111) ~[client-1.21.1-20240808.144430-srg.jar%23690!/:?]
	at TRANSFORMER/minecraft@1.21.1/net.minecraft.client.Minecraft.runTick(Minecraft.java:1155) ~[client-1.21.1-20240808.144430-srg.jar%23690!/:?]
	at TRANSFORMER/minecraft@1.21.1/net.minecraft.client.Minecraft.run(Minecraft.java:807) ~[client-1.21.1-20240808.144430-srg.jar%23690!/:?]
	at TRANSFORMER/minecraft@1.21.1/net.minecraft.client.main.Main.main(Main.java:230) ~[client-1.21.1-20240808.144430-srg.jar%23690!/:?]
	at java.base/jdk.internal.reflect.DirectMethodHandleAccessor.invoke(DirectMethodHandleAccessor.java:103) ~[?:?]
	at java.base/java.lang.reflect.Method.invoke(Method.java:580) ~[?:?]
	at MC-BOOTSTRAP/fml_loader@4.0.42/net.neoforged.fml.loading.targets.CommonLaunchHandler.runTarget(CommonLaunchHandler.java:136) ~[loader-4.0.42.jar%23161!/:4.0]
	at MC-BOOTSTRAP/fml_loader@4.0.42/net.neoforged.fml.loading.targets.CommonLaunchHandler.clientService(CommonLaunchHandler.java:124) ~[loader-4.0.42.jar%23161!/:4.0]
	at MC-BOOTSTRAP/fml_loader@4.0.42/net.neoforged.fml.loading.targets.CommonClientLaunchHandler.runService(CommonClientLaunchHandler.java:32) ~[loader-4.0.42.jar%23161!/:4.0]
	at MC-BOOTSTRAP/fml_loader@4.0.42/net.neoforged.fml.loading.targets.CommonLaunchHandler.lambda$launchService$4(CommonLaunchHandler.java:118) ~[loader-4.0.42.jar%23161!/:4.0]
	at MC-BOOTSTRAP/cpw.mods.modlauncher@11.0.5/cpw.mods.modlauncher.LaunchServiceHandlerDecorator.launch(LaunchServiceHandlerDecorator.java:30) [modlauncher-11.0.5.jar%23166!/:?]
	at MC-BOOTSTRAP/cpw.mods.modlauncher@11.0.5/cpw.mods.modlauncher.LaunchServiceHandler.launch(LaunchServiceHandler.java:53) [modlauncher-11.0.5.jar%23166!/:?]
	at MC-BOOTSTRAP/cpw.mods.modlauncher@11.0.5/cpw.mods.modlauncher.LaunchServiceHandler.launch(LaunchServiceHandler.java:71) [modlauncher-11.0.5.jar%23166!/:?]
	at MC-BOOTSTRAP/cpw.mods.modlauncher@11.0.5/cpw.mods.modlauncher.Launcher.run(Launcher.java:103) [modlauncher-11.0.5.jar%23166!/:?]
	at MC-BOOTSTRAP/cpw.mods.modlauncher@11.0.5/cpw.mods.modlauncher.Launcher.main(Launcher.java:74) [modlauncher-11.0.5.jar%23166!/:?]
	at MC-BOOTSTRAP/cpw.mods.modlauncher@11.0.5/cpw.mods.modlauncher.BootstrapLaunchConsumer.accept(BootstrapLaunchConsumer.java:26) [modlauncher-11.0.5.jar%23166!/:?]
	at MC-BOOTSTRAP/cpw.mods.modlauncher@11.0.5/cpw.mods.modlauncher.BootstrapLaunchConsumer.accept(BootstrapLaunchConsumer.java:23) [modlauncher-11.0.5.jar%23166!/:?]
	at cpw.mods.bootstraplauncher@2.0.2/cpw.mods.bootstraplauncher.BootstrapLauncher.run(BootstrapLauncher.java:210) [bootstraplauncher-2.0.2.jar:?]
	at cpw.mods.bootstraplauncher@2.0.2/cpw.mods.bootstraplauncher.BootstrapLauncher.main(BootstrapLauncher.java:69) [bootstraplauncher-2.0.2.jar:?]
	at java.base/jdk.internal.reflect.DirectMethodHandleAccessor.invoke(DirectMethodHandleAccessor.java:103) ~[?:?]
	at java.base/java.lang.reflect.Method.invoke(Method.java:580) ~[?:?]
	at io.github.zekerzhayard.forgewrapper.installer.Main.main(Main.java:67) [ForgeWrapper-prism-2025-12-07.jar:prism-2025-12-07]
	at org.prismlauncher.launcher.impl.StandardLauncher.launch(StandardLauncher.java:115) [NewLaunch.jar:?]
	at org.prismlauncher.EntryPoint.listen(EntryPoint.java:129) [NewLaunch.jar:?]
	at org.prismlauncher.EntryPoint.main(EntryPoint.java:70) [NewLaunch.jar:?]
[01Mar2026 13:42:20.079] [Render thread/ERROR] [toomanyrecipeviewers/]: Found a broken recipe, failed to addRecipe: ETHENE {
  Outputs:
  Inputs:
  Catalysts:
}

java.lang.NullPointerException: Cannot invoke "mezz.jei.library.ingredients.IngredientInfo.getIngredientHelper()" because the return value of "java.util.Map.get(Object)" is null
	at TRANSFORMER/toomanyrecipeviewers@0.7.0+mc.21.1/dev.nolij.toomanyrecipeviewers.impl.jei.api.runtime.IngredientManager.getIngredientHelper(IngredientManager.java:267) ~[toomanyrecipeviewers-0.7.0+mc.21.1.jar%231144!/:?]
	at TRANSFORMER/toomanyrecipeviewers@0.7.0+mc.21.1/mezz.jei.library.ingredients.TypedIngredient.createAndFilterInvalid(TypedIngredient.java:86) ~[toomanyrecipeviewers-0.7.0+mc.21.1.jar%231144!/:?]
	at TRANSFORMER/toomanyrecipeviewers@0.7.0+mc.21.1/dev.nolij.toomanyrecipeviewers.impl.jei.api.gui.builder.TMRVIngredientCollector.addIngredient(TMRVIngredientCollector.java:88) ~[toomanyrecipeviewers-0.7.0+mc.21.1.jar%231144!/:?]
	at TRANSFORMER/toomanyrecipeviewers@0.7.0+mc.21.1/dev.nolij.toomanyrecipeviewers.impl.jei.api.gui.builder.RecipeSlotBuilder.addIngredient(RecipeSlotBuilder.java:210) ~[toomanyrecipeviewers-0.7.0+mc.21.1.jar%231144!/:?]
	at TRANSFORMER/toomanyrecipeviewers@0.7.0+mc.21.1/dev.nolij.toomanyrecipeviewers.impl.jei.api.gui.builder.RecipeSlotBuilder.addIngredient(RecipeSlotBuilder.java:34) ~[toomanyrecipeviewers-0.7.0+mc.21.1.jar%231144!/:?]
	at TRANSFORMER/mekagenjei@1.2/com.devdyna.mekagenjei.client.jei.categories.GasBurningCategory.setSlotType(GasBurningCategory.java:35) ~[mekagenjei-1.2.jar%23994!/:?]
	at TRANSFORMER/mekagenjei@1.2/com.devdyna.mekagenjei.client.jei.categories.GasBurningCategory.setSlotType(GasBurningCategory.java:22) ~[mekagenjei-1.2.jar%23994!/:?]
	at TRANSFORMER/mekagenjei@1.2/com.devdyna.mekagenjei.client.jei.api.FuelCategory.setRecipe(FuelCategory.java:33) ~[mekagenjei-1.2.jar%23994!/:?]
	at TRANSFORMER/toomanyrecipeviewers@0.7.0+mc.21.1/dev.nolij.toomanyrecipeviewers.impl.recipe.TMRVRecipe.<init>(TMRVRecipe.java:82) ~[toomanyrecipeviewers-0.7.0+mc.21.1.jar%231144!/:?]
	at TRANSFORMER/toomanyrecipeviewers@0.7.0+mc.21.1/dev.nolij.toomanyrecipeviewers.impl.jei.api.recipe.RecipeManager$Category$Recipe.getEMIRecipe(RecipeManager.java:923) ~[toomanyrecipeviewers-0.7.0+mc.21.1.jar%231144!/:?]
	at TRANSFORMER/toomanyrecipeviewers@0.7.0+mc.21.1/dev.nolij.toomanyrecipeviewers.impl.jei.api.recipe.RecipeManager.addRecipe(RecipeManager.java:476) ~[toomanyrecipeviewers-0.7.0+mc.21.1.jar%231144!/:?]
	at TRANSFORMER/toomanyrecipeviewers@0.7.0+mc.21.1/dev.nolij.toomanyrecipeviewers.impl.jei.api.recipe.RecipeManager.addRecipes(RecipeManager.java:271) ~[toomanyrecipeviewers-0.7.0+mc.21.1.jar%231144!/:?]
	at TRANSFORMER/toomanyrecipeviewers@0.7.0+mc.21.1/dev.nolij.toomanyrecipeviewers.impl.jei.api.registration.RecipeRegistration.addRecipes(RecipeRegistration.java:45) ~[toomanyrecipeviewers-0.7.0+mc.21.1.jar%231144!/:?]
	at TRANSFORMER/mekagenjei@1.2/com.devdyna.mekagenjei.client.jei.MainPlugin.registerRecipes(MainPlugin.java:42) ~[mekagenjei-1.2.jar%23994!/:?]
	at TRANSFORMER/toomanyrecipeviewers@0.7.0+mc.21.1/dev.nolij.toomanyrecipeviewers.JEIPlugins.lambda$registerRecipes$10(JEIPlugins.java:205) ~[toomanyrecipeviewers-0.7.0+mc.21.1.jar%231144!/:?]
	at TRANSFORMER/toomanyrecipeviewers@0.7.0+mc.21.1/dev.nolij.toomanyrecipeviewers.JEIPlugins.dispatchInternal(JEIPlugins.java:137) ~[toomanyrecipeviewers-0.7.0+mc.21.1.jar%231144!/:?]
	at TRANSFORMER/toomanyrecipeviewers@0.7.0+mc.21.1/dev.nolij.toomanyrecipeviewers.JEIPlugins.dispatchInternal(JEIPlugins.java:150) ~[toomanyrecipeviewers-0.7.0+mc.21.1.jar%231144!/:?]
	at TRANSFORMER/toomanyrecipeviewers@0.7.0+mc.21.1/dev.nolij.toomanyrecipeviewers.JEIPlugins.lambda$dispatch$1(JEIPlugins.java:160) ~[toomanyrecipeviewers-0.7.0+mc.21.1.jar%231144!/:?]
	at TRANSFORMER/minecraft@1.21.1/net.minecraft.util.thread.BlockableEventLoop.lambda$submitAsync$0(BlockableEventLoop.java:60) ~[client-1.21.1-20240808.144430-srg.jar%23690!/:?]
	at java.base/java.util.concurrent.CompletableFuture$AsyncSupply.run(CompletableFuture.java:1768) ~[?:?]
	at TRANSFORMER/minecraft@1.21.1/net.minecraft.util.thread.BlockableEventLoop.doRunTask(BlockableEventLoop.java:148) ~[client-1.21.1-20240808.144430-srg.jar%23690!/:?]
	at TRANSFORMER/minecraft@1.21.1/net.minecraft.util.thread.ReentrantBlockableEventLoop.doRunTask(ReentrantBlockableEventLoop.java:23) ~[client-1.21.1-20240808.144430-srg.jar%23690!/:?]
	at TRANSFORMER/minecraft@1.21.1/net.minecraft.util.thread.BlockableEventLoop.pollTask(BlockableEventLoop.java:122) ~[client-1.21.1-20240808.144430-srg.jar%23690!/:?]
	at TRANSFORMER/minecraft@1.21.1/net.minecraft.util.thread.BlockableEventLoop.runAllTasks(BlockableEventLoop.java:111) ~[client-1.21.1-20240808.144430-srg.jar%23690!/:?]
	at TRANSFORMER/minecraft@1.21.1/net.minecraft.client.Minecraft.runTick(Minecraft.java:1155) ~[client-1.21.1-20240808.144430-srg.jar%23690!/:?]
	at TRANSFORMER/minecraft@1.21.1/net.minecraft.client.Minecraft.run(Minecraft.java:807) ~[client-1.21.1-20240808.144430-srg.jar%23690!/:?]
	at TRANSFORMER/minecraft@1.21.1/net.minecraft.client.main.Main.main(Main.java:230) ~[client-1.21.1-20240808.144430-srg.jar%23690!/:?]
	at java.base/jdk.internal.reflect.DirectMethodHandleAccessor.invoke(DirectMethodHandleAccessor.java:103) ~[?:?]
	at java.base/java.lang.reflect.Method.invoke(Method.java:580) ~[?:?]
	at MC-BOOTSTRAP/fml_loader@4.0.42/net.neoforged.fml.loading.targets.CommonLaunchHandler.runTarget(CommonLaunchHandler.java:136) ~[loader-4.0.42.jar%23161!/:4.0]
	at MC-BOOTSTRAP/fml_loader@4.0.42/net.neoforged.fml.loading.targets.CommonLaunchHandler.clientService(CommonLaunchHandler.java:124) ~[loader-4.0.42.jar%23161!/:4.0]
	at MC-BOOTSTRAP/fml_loader@4.0.42/net.neoforged.fml.loading.targets.CommonClientLaunchHandler.runService(CommonClientLaunchHandler.java:32) ~[loader-4.0.42.jar%23161!/:4.0]
	at MC-BOOTSTRAP/fml_loader@4.0.42/net.neoforged.fml.loading.targets.CommonLaunchHandler.lambda$launchService$4(CommonLaunchHandler.java:118) ~[loader-4.0.42.jar%23161!/:4.0]
	at MC-BOOTSTRAP/cpw.mods.modlauncher@11.0.5/cpw.mods.modlauncher.LaunchServiceHandlerDecorator.launch(LaunchServiceHandlerDecorator.java:30) [modlauncher-11.0.5.jar%23166!/:?]
	at MC-BOOTSTRAP/cpw.mods.modlauncher@11.0.5/cpw.mods.modlauncher.LaunchServiceHandler.launch(LaunchServiceHandler.java:53) [modlauncher-11.0.5.jar%23166!/:?]
	at MC-BOOTSTRAP/cpw.mods.modlauncher@11.0.5/cpw.mods.modlauncher.LaunchServiceHandler.launch(LaunchServiceHandler.java:71) [modlauncher-11.0.5.jar%23166!/:?]
	at MC-BOOTSTRAP/cpw.mods.modlauncher@11.0.5/cpw.mods.modlauncher.Launcher.run(Launcher.java:103) [modlauncher-11.0.5.jar%23166!/:?]
	at MC-BOOTSTRAP/cpw.mods.modlauncher@11.0.5/cpw.mods.modlauncher.Launcher.main(Launcher.java:74) [modlauncher-11.0.5.jar%23166!/:?]
	at MC-BOOTSTRAP/cpw.mods.modlauncher@11.0.5/cpw.mods.modlauncher.BootstrapLaunchConsumer.accept(BootstrapLaunchConsumer.java:26) [modlauncher-11.0.5.jar%23166!/:?]
	at MC-BOOTSTRAP/cpw.mods.modlauncher@11.0.5/cpw.mods.modlauncher.BootstrapLaunchConsumer.accept(BootstrapLaunchConsumer.java:23) [modlauncher-11.0.5.jar%23166!/:?]
	at cpw.mods.bootstraplauncher@2.0.2/cpw.mods.bootstraplauncher.BootstrapLauncher.run(BootstrapLauncher.java:210) [bootstraplauncher-2.0.2.jar:?]
	at cpw.mods.bootstraplauncher@2.0.2/cpw.mods.bootstraplauncher.BootstrapLauncher.main(BootstrapLauncher.java:69) [bootstraplauncher-2.0.2.jar:?]
	at java.base/jdk.internal.reflect.DirectMethodHandleAccessor.invoke(DirectMethodHandleAccessor.java:103) ~[?:?]
	at java.base/java.lang.reflect.Method.invoke(Method.java:580) ~[?:?]
	at io.github.zekerzhayard.forgewrapper.installer.Main.main(Main.java:67) [ForgeWrapper-prism-2025-12-07.jar:prism-2025-12-07]
	at org.prismlauncher.launcher.impl.StandardLauncher.launch(StandardLauncher.java:115) [NewLaunch.jar:?]
	at org.prismlauncher.EntryPoint.listen(EntryPoint.java:129) [NewLaunch.jar:?]
	at org.prismlauncher.EntryPoint.main(EntryPoint.java:70) [NewLaunch.jar:?]
[01Mar2026 13:42:20.081] [Render thread/ERROR] [mezz.jei.library.util.IngredientSupplierHelper/]: Found a broken recipe, failed to setRecipe with RecipeLayoutBuilder: STEAM

java.lang.NullPointerException: Cannot invoke "mezz.jei.library.ingredients.IngredientInfo.getIngredientHelper()" because the return value of "java.util.Map.get(Object)" is null
	at TRANSFORMER/toomanyrecipeviewers@0.7.0+mc.21.1/dev.nolij.toomanyrecipeviewers.impl.jei.api.runtime.IngredientManager.getIngredientHelper(IngredientManager.java:267) ~[toomanyrecipeviewers-0.7.0+mc.21.1.jar%231144!/:?]
	at TRANSFORMER/toomanyrecipeviewers@0.7.0+mc.21.1/mezz.jei.library.ingredients.TypedIngredient.createAndFilterInvalid(TypedIngredient.java:86) ~[toomanyrecipeviewers-0.7.0+mc.21.1.jar%231144!/:?]
	at TRANSFORMER/toomanyrecipeviewers@0.7.0+mc.21.1/mezz.jei.library.ingredients.SimpleIngredientAcceptor.addIngredientInternal(SimpleIngredientAcceptor.java:141) ~[toomanyrecipeviewers-0.7.0+mc.21.1.jar%231144!/:?]
	at TRANSFORMER/toomanyrecipeviewers@0.7.0+mc.21.1/mezz.jei.library.ingredients.SimpleIngredientAcceptor.addIngredient(SimpleIngredientAcceptor.java:71) ~[toomanyrecipeviewers-0.7.0+mc.21.1.jar%231144!/:?]
	at TRANSFORMER/toomanyrecipeviewers@0.7.0+mc.21.1/mezz.jei.library.gui.recipes.supplier.builder.IngredientSlotBuilder.addIngredient(IngredientSlotBuilder.java:40) ~[toomanyrecipeviewers-0.7.0+mc.21.1.jar%231144!/:?]
	at TRANSFORMER/toomanyrecipeviewers@0.7.0+mc.21.1/mezz.jei.library.gui.recipes.supplier.builder.IngredientSlotBuilder.addIngredient(IngredientSlotBuilder.java:25) ~[toomanyrecipeviewers-0.7.0+mc.21.1.jar%231144!/:?]
	at TRANSFORMER/mekagenjei@1.2/com.devdyna.mekagenjei.client.jei.api.MonoGasCategory.setRecipe(MonoGasCategory.java:29) ~[mekagenjei-1.2.jar%23994!/:?]
	at TRANSFORMER/toomanyrecipeviewers@0.7.0+mc.21.1/mezz.jei.library.util.IngredientSupplierHelper.getIngredientSupplier(IngredientSupplierHelper.java:23) ~[toomanyrecipeviewers-0.7.0+mc.21.1.jar%231144!/:?]
	at TRANSFORMER/toomanyrecipeviewers@0.7.0+mc.21.1/mezz.jei.library.util.RecipeErrorUtil.getInfoFromRecipe(RecipeErrorUtil.java:32) ~[toomanyrecipeviewers-0.7.0+mc.21.1.jar%231144!/:?]
	at TRANSFORMER/toomanyrecipeviewers@0.7.0+mc.21.1/dev.nolij.toomanyrecipeviewers.impl.jei.api.recipe.RecipeManager.addRecipe(RecipeManager.java:486) ~[toomanyrecipeviewers-0.7.0+mc.21.1.jar%231144!/:?]
	at TRANSFORMER/toomanyrecipeviewers@0.7.0+mc.21.1/dev.nolij.toomanyrecipeviewers.impl.jei.api.recipe.RecipeManager.addRecipes(RecipeManager.java:271) ~[toomanyrecipeviewers-0.7.0+mc.21.1.jar%231144!/:?]
	at TRANSFORMER/toomanyrecipeviewers@0.7.0+mc.21.1/dev.nolij.toomanyrecipeviewers.impl.jei.api.registration.RecipeRegistration.addRecipes(RecipeRegistration.java:45) ~[toomanyrecipeviewers-0.7.0+mc.21.1.jar%231144!/:?]
	at TRANSFORMER/mekagenjei@1.2/com.devdyna.mekagenjei.client.jei.MainPlugin.registerRecipes(MainPlugin.java:43) ~[mekagenjei-1.2.jar%23994!/:?]
	at TRANSFORMER/toomanyrecipeviewers@0.7.0+mc.21.1/dev.nolij.toomanyrecipeviewers.JEIPlugins.lambda$registerRecipes$10(JEIPlugins.java:205) ~[toomanyrecipeviewers-0.7.0+mc.21.1.jar%231144!/:?]
	at TRANSFORMER/toomanyrecipeviewers@0.7.0+mc.21.1/dev.nolij.toomanyrecipeviewers.JEIPlugins.dispatchInternal(JEIPlugins.java:137) ~[toomanyrecipeviewers-0.7.0+mc.21.1.jar%231144!/:?]
	at TRANSFORMER/toomanyrecipeviewers@0.7.0+mc.21.1/dev.nolij.toomanyrecipeviewers.JEIPlugins.dispatchInternal(JEIPlugins.java:150) ~[toomanyrecipeviewers-0.7.0+mc.21.1.jar%231144!/:?]
	at TRANSFORMER/toomanyrecipeviewers@0.7.0+mc.21.1/dev.nolij.toomanyrecipeviewers.JEIPlugins.lambda$dispatch$1(JEIPlugins.java:160) ~[toomanyrecipeviewers-0.7.0+mc.21.1.jar%231144!/:?]
	at TRANSFORMER/minecraft@1.21.1/net.minecraft.util.thread.BlockableEventLoop.lambda$submitAsync$0(BlockableEventLoop.java:60) ~[client-1.21.1-20240808.144430-srg.jar%23690!/:?]
	at java.base/java.util.concurrent.CompletableFuture$AsyncSupply.run(CompletableFuture.java:1768) ~[?:?]
	at TRANSFORMER/minecraft@1.21.1/net.minecraft.util.thread.BlockableEventLoop.doRunTask(BlockableEventLoop.java:148) ~[client-1.21.1-20240808.144430-srg.jar%23690!/:?]
	at TRANSFORMER/minecraft@1.21.1/net.minecraft.util.thread.ReentrantBlockableEventLoop.doRunTask(ReentrantBlockableEventLoop.java:23) ~[client-1.21.1-20240808.144430-srg.jar%23690!/:?]
	at TRANSFORMER/minecraft@1.21.1/net.minecraft.util.thread.BlockableEventLoop.pollTask(BlockableEventLoop.java:122) ~[client-1.21.1-20240808.144430-srg.jar%23690!/:?]
	at TRANSFORMER/minecraft@1.21.1/net.minecraft.util.thread.BlockableEventLoop.runAllTasks(BlockableEventLoop.java:111) ~[client-1.21.1-20240808.144430-srg.jar%23690!/:?]
	at TRANSFORMER/minecraft@1.21.1/net.minecraft.client.Minecraft.runTick(Minecraft.java:1155) ~[client-1.21.1-20240808.144430-srg.jar%23690!/:?]
	at TRANSFORMER/minecraft@1.21.1/net.minecraft.client.Minecraft.run(Minecraft.java:807) ~[client-1.21.1-20240808.144430-srg.jar%23690!/:?]
	at TRANSFORMER/minecraft@1.21.1/net.minecraft.client.main.Main.main(Main.java:230) ~[client-1.21.1-20240808.144430-srg.jar%23690!/:?]
	at java.base/jdk.internal.reflect.DirectMethodHandleAccessor.invoke(DirectMethodHandleAccessor.java:103) ~[?:?]
	at java.base/java.lang.reflect.Method.invoke(Method.java:580) ~[?:?]
	at MC-BOOTSTRAP/fml_loader@4.0.42/net.neoforged.fml.loading.targets.CommonLaunchHandler.runTarget(CommonLaunchHandler.java:136) ~[loader-4.0.42.jar%23161!/:4.0]
	at MC-BOOTSTRAP/fml_loader@4.0.42/net.neoforged.fml.loading.targets.CommonLaunchHandler.clientService(CommonLaunchHandler.java:124) ~[loader-4.0.42.jar%23161!/:4.0]
	at MC-BOOTSTRAP/fml_loader@4.0.42/net.neoforged.fml.loading.targets.CommonClientLaunchHandler.runService(CommonClientLaunchHandler.java:32) ~[loader-4.0.42.jar%23161!/:4.0]
	at MC-BOOTSTRAP/fml_loader@4.0.42/net.neoforged.fml.loading.targets.CommonLaunchHandler.lambda$launchService$4(CommonLaunchHandler.java:118) ~[loader-4.0.42.jar%23161!/:4.0]
	at MC-BOOTSTRAP/cpw.mods.modlauncher@11.0.5/cpw.mods.modlauncher.LaunchServiceHandlerDecorator.launch(LaunchServiceHandlerDecorator.java:30) [modlauncher-11.0.5.jar%23166!/:?]
	at MC-BOOTSTRAP/cpw.mods.modlauncher@11.0.5/cpw.mods.modlauncher.LaunchServiceHandler.launch(LaunchServiceHandler.java:53) [modlauncher-11.0.5.jar%23166!/:?]
	at MC-BOOTSTRAP/cpw.mods.modlauncher@11.0.5/cpw.mods.modlauncher.LaunchServiceHandler.launch(LaunchServiceHandler.java:71) [modlauncher-11.0.5.jar%23166!/:?]
	at MC-BOOTSTRAP/cpw.mods.modlauncher@11.0.5/cpw.mods.modlauncher.Launcher.run(Launcher.java:103) [modlauncher-11.0.5.jar%23166!/:?]
	at MC-BOOTSTRAP/cpw.mods.modlauncher@11.0.5/cpw.mods.modlauncher.Launcher.main(Launcher.java:74) [modlauncher-11.0.5.jar%23166!/:?]
	at MC-BOOTSTRAP/cpw.mods.modlauncher@11.0.5/cpw.mods.modlauncher.BootstrapLaunchConsumer.accept(BootstrapLaunchConsumer.java:26) [modlauncher-11.0.5.jar%23166!/:?]
	at MC-BOOTSTRAP/cpw.mods.modlauncher@11.0.5/cpw.mods.modlauncher.BootstrapLaunchConsumer.accept(BootstrapLaunchConsumer.java:23) [modlauncher-11.0.5.jar%23166!/:?]
	at cpw.mods.bootstraplauncher@2.0.2/cpw.mods.bootstraplauncher.BootstrapLauncher.run(BootstrapLauncher.java:210) [bootstraplauncher-2.0.2.jar:?]
	at cpw.mods.bootstraplauncher@2.0.2/cpw.mods.bootstraplauncher.BootstrapLauncher.main(BootstrapLauncher.java:69) [bootstraplauncher-2.0.2.jar:?]
	at java.base/jdk.internal.reflect.DirectMethodHandleAccessor.invoke(DirectMethodHandleAccessor.java:103) ~[?:?]
	at java.base/java.lang.reflect.Method.invoke(Method.java:580) ~[?:?]
	at io.github.zekerzhayard.forgewrapper.installer.Main.main(Main.java:67) [ForgeWrapper-prism-2025-12-07.jar:prism-2025-12-07]
	at org.prismlauncher.launcher.impl.StandardLauncher.launch(StandardLauncher.java:115) [NewLaunch.jar:?]
	at org.prismlauncher.EntryPoint.listen(EntryPoint.java:129) [NewLaunch.jar:?]
	at org.prismlauncher.EntryPoint.main(EntryPoint.java:70) [NewLaunch.jar:?]
[01Mar2026 13:42:20.082] [Render thread/ERROR] [toomanyrecipeviewers/]: Found a broken recipe, failed to addRecipe: STEAM {
  Outputs:
  Inputs:
  Catalysts:
}

java.lang.NullPointerException: Cannot invoke "mezz.jei.library.ingredients.IngredientInfo.getIngredientHelper()" because the return value of "java.util.Map.get(Object)" is null
	at TRANSFORMER/toomanyrecipeviewers@0.7.0+mc.21.1/dev.nolij.toomanyrecipeviewers.impl.jei.api.runtime.IngredientManager.getIngredientHelper(IngredientManager.java:267) ~[toomanyrecipeviewers-0.7.0+mc.21.1.jar%231144!/:?]
	at TRANSFORMER/toomanyrecipeviewers@0.7.0+mc.21.1/mezz.jei.library.ingredients.TypedIngredient.createAndFilterInvalid(TypedIngredient.java:86) ~[toomanyrecipeviewers-0.7.0+mc.21.1.jar%231144!/:?]
